"subNumber","automation","nback","runNumber","eventType","type","steering","rt","jerk","minTTC","crash","Age"
19,"PAD","No Task",3,"RIGHT_PEDESTRIAN","Mainly steer",1,2.45000000000002,0.908893542838693,0.684559734348746,0,46
19,"PAD","No Task",3,"LEFT_PEDESTRIAN","Mainly steer",1,2.13330000000002,0.870360708817623,1.06083226943363,0,46
19,"PAD","No Task",3,"ONCOMING_VEHICLES","Mainly steer",1,0.883399999999995,1.1126092168312,0,1,46
19,"MD","2-Back",4,"LEFT_PEDESTRIAN","Mainly steer",1,1.91669999999999,0.10615093871514,1.42506345811192,0,46
19,"MD","2-Back",4,"ONCOMING_VEHICLES","Mainly steer",1,0.766599999999983,2.13716244297549,0,1,46
19,"MD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly steer",1,2.18330000000003,-0.217759489722098,1.95170542094761,0,46
20,"PAD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,3.41659999999996,0.130735255556838,0,1,35
20,"PAD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.899999999999977,0.840856173093952,0,1,35
20,"PAD","2-Back",1,"RIGHT_PEDESTRIAN","Mainly brake",0,2,1.15160582503276,1.63367122003906,0,35
20,"MD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.38330000000002,0.657782483122506,1.98762238439844,0,35
20,"MD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.61670000000004,1.06518109940923,2.95495523958949,0,35
20,"MD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,-1.89999999999998,-1.31176600742515,0.589380881256161,0,35
20,"MD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.48330000000004,0.923907898198958,1.7474713725124,0,35
20,"MD","2-Back",3,"ONCOMING_VEHICLES","Mainly brake",0,0.5,-1.02143012495687,0,1,35
20,"MD","2-Back",3,"RIGHT_PEDESTRIAN","Mainly brake",0,0.516600000000039,0.877417824916336,2.26003360407208,0,35
20,"PAD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,1.08340000000001,0.356408944179598,0,1,35
20,"PAD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,0.949999999999989,1.13224178416523,2.57683753141524,0,35
20,"PAD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.60000000000002,1.0768520684606,1.97681330846337,0,35
21,"PAD","2-Back",1,"RIGHT_PEDESTRIAN","Mainly brake",0,2.76670000000001,1.09781271621318,0,1,40
21,"PAD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,1.06670000000003,0.986549976508441,0,1,40
21,"PAD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,2.43340000000001,1.15239345269863,1.04284368568413,0,40
21,"PAD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.80000000000001,0.99868577365585,1.75381545762371,0,40
21,"PAD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,0.916699999999992,0.666142180349362,0,1,40
21,"PAD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,2.36669999999992,1.01877867565336,1.02916504126587,0,40
21,"MD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.71670000000006,0.639956113489583,0.010352742593464,0,40
21,"MD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,2.01669999999996,0.997740313870016,0.918695117024548,0,40
22,"PAD","2-Back",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.7167,0.476362303503025,1.69,0,41
22,"PAD","2-Back",1,"RIGHT_PEDESTRIAN","Mainly brake",0,1.63330000000002,0.997339371351879,1.91973218349133,0,41
22,"PAD","2-Back",1,"ONCOMING_VEHICLES","Mainly brake",0,0.933300000000031,0.453397514735014,0,1,41
22,"PAD","No Task",2,"ONCOMING_VEHICLES","Brake and steer",1,0.666699999999992,0.166611880539908,0,1,41
22,"PAD","No Task",2,"LEFT_PEDESTRIAN","Brake and steer",1,1.68340000000001,-0.528785026855994,1.12056458070619,0,41
22,"PAD","No Task",2,"RIGHT_PEDESTRIAN","Brake and steer",1,1.43340000000001,-0.753358797992353,1.08345841736325,0,41
22,"MD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,2,-0.642173189920613,1.72172845856225,0,41
22,"MD","No Task",4,"ONCOMING_VEHICLES","Brake and steer",1,0.91670000000002,0.772299781625472,0,1,41
22,"MD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.56669999999997,0.446430731883429,1.87593076288847,0,41
